,Name,Financial Status,Paid at,Fulfillment Status,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem fulfillment status,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Tags,Risk Level,Source,Color ,Tax 3 Name,item_quantity
21,#1022,partially_refunded,,partial,yes,USD,369.96,7.78,0.0,377.74,THANKYOU15,65.29,FedEx Ground,11/22/15 14:00,4,10.75,,fulfilled,"945 BOARDMAN-CANFIELD RD, 4",945 BOARDMAN-CANFIELD RD,4,POSSESSIONS,BOARDMAN,44512,OH,US,NOV30/15% DISCOUNT,,,Shopify Payments,11.9,USJewelryhouse,,Low,web, Black,,71
22,#1023,partially_refunded,,partial,yes,USD,298.0,6.89,0.0,304.89,,0.0,FedEx Ground,11/22/15 14:33,1,10.0,8.5,fulfilled,344 hillside ave,344 hillside ave,,Nisha spa,Nutley,7110,NJ,US,,,,Shopify Payments,42.25,D&Y,,Low,web, Black,,45
23,#1024,partially_refunded,,partial,yes,USD,251.5,6.89,0.0,258.39,,0.0,FedEx Ground,11/22/15 17:30,4,9.0,50.0,pending,1423 ocean street,1423 ocean street,,toni and company,marshfield,2050,MA,US,,,,Shopify Payments,72.0,USJewelryhouse,,Low,web, Purple,,26
24,#1025,paid,11/24/15 11:50,fulfilled,yes,USD,129.0,8.74,0.0,137.74,,0.0,FedEx Ground,11/24/15 11:50,2,8.25,,fulfilled,25887 detroit rd,25887 detroit rd,,marcell,westlake,44145,OH,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Black,,20
25,#1026,paid,11/25/15 8:38,fulfilled,yes,USD,473.0,9.34,0.0,482.34,,0.0,FedEx Ground,11/25/15 8:38,3,6.0,,fulfilled,75001 Miller,75001 Miller,,Bibbege,Chapel Hill,27517,NC,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Brown,,62
26,#1027,partially_refunded,,partial,yes,USD,178.25,8.96,0.0,187.21,,0.0,FedEx Ground,11/25/15 13:22,2,2.25,,fulfilled,209 West 28th Street,209 West 28th Street,,APAMO SA DE CV - Kalas Bridal & Boutique,New York,10001,NY,US,,,,Shopify Payments,11.0,USJewelryhouse,,Low,web, Worn Gold,,30
27,#1028,paid,11/25/15 17:02,fulfilled,yes,USD,90.95,8.96,0.0,99.91,Thankyou15,16.05,FedEx Ground,11/25/15 17:02,1,107.0,,fulfilled,50 Massachusetts Ave NW,50 Massachusetts Ave NW,,Lost City Boutique,Washington,20001,DC,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
28,#1029,partially_refunded,,partial,yes,USD,301.0,13.73,0.0,314.73,,0.0,FedEx Ground,11/25/15 18:45,4,4.5,8.75,fulfilled,"108 Main Ave E, PO Box 609",108 Main Ave E,PO Box 609,"Golden Rule, Inc",Rolla,58367,ND,US,,,,Shopify Payments,47.0,USJewelryhouse,,Low,web, Gray,,50
29,#1030,paid,11/26/15 8:11,fulfilled,no,USD,100.5,8.96,0.0,109.46,,0.0,FedEx Ground,11/26/15 8:11,10,6.25,,fulfilled,221 Commercial St,221 Commercial St,,Motifs,Portland,4101,ME,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Black,,14
30,#1031,partially_refunded,,partial,yes,USD,233.5,8.96,0.0,242.46,Cyber20,20.0,FedEx Ground,11/26/15 11:58,4,3.0,,fulfilled,11456 mallard creek trl,11456 mallard creek trl,,Ssiji,Fairfax,22033,VA,US,,,,Shopify Payments,20.5,USJewelryhouse,,Low,web, Gold,,70
31,#1032,refunded,11/29/15 18:19,unfulfilled,yes,USD,105.75,8.96,0.0,114.71,,0.0,FedEx Ground,11/29/15 18:19,6,2.25,,pending,1836 E. Elizabeth Ave,1836 E. Elizabeth Ave,,Runaway,Linden,7036,NJ,US,CVV incorrect-refund,,,Shopify Payments,114.71,USJewelryhouse,,Low,web, Rhodium,,39
32,#1033,paid,11/29/15 18:32,fulfilled,yes,USD,110.5,8.96,0.0,119.46,,0.0,FedEx Ground,11/29/15 18:32,2,8.25,,fulfilled,1408 Hopmeadow St,1408 Hopmeadow St,,AvaGrace ,Simsbury,6070,CT,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Ivory,,18
33,#1034,paid,11/30/15 11:28,fulfilled,yes,USD,176.5,9.46,0.0,185.96,,0.0,FedEx Ground,11/30/15 11:28,2,6.5,,fulfilled,3560 roland drive,3560 roland drive,,just call kara,bloomfield,48301,MI,US, ,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Blue,,22
34,#1035,partially_refunded,,fulfilled,yes,USD,105.75,8.96,0.0,114.71,,0.0,FedEx Ground,11/30/15 12:19,1,105.75,,fulfilled,1836 E. Elizabeth Ave,1836 E. Elizabeth Ave,,Runaway,Linden,7036,NJ,US,,,,Shopify Payments,1.5,USJewelryhouse,,Low,web,,,1
35,#1036,partially_refunded,,partial,no,USD,125.0,8.96,0.0,133.96,,0.0,FedEx Ground,11/30/15 16:25,1,4.5,,fulfilled,88 Broad Street,88 Broad Street,,Lux Beauty,Red Bank,7701,NJ,US,,,,Shopify Payments,12.25,USJewelryhouse,,Low,web, Gray,,20
36,#1037,partially_refunded,,fulfilled,yes,USD,55.5,9.46,0.0,64.96,,0.0,FedEx Ground,12/1/15 12:13,1,7.25,14.75,fulfilled,"602 eagle rd apt 2d, 2d",602 eagle rd apt 2d,2d,star bella ,greensboro,27407,NC,US,,,,Shopify Payments,7.21,USJewelryhouse,,Low,web, Burnish Silver,,9
37,#1038,partially_refunded,,partial,yes,USD,516.75,9.92,0.0,526.67,,0.0,FedEx Ground,12/2/15 14:16,7,9.5,,fulfilled,108 Runningdeer Dr,108 Runningdeer Dr,,ALTA CHIC,Mooresville,28117-8160,NC,US,,,,Shopify Payments,6.0,USJewelryhouse,,Low,web, Black,,111
38,#1039,partially_refunded,,partial,yes,USD,346.0,8.96,0.0,354.96,,0.0,FedEx Ground,12/3/15 14:12,6,9.75,,partial,35 Sparrow Walk,35 Sparrow Walk,,Friendz,Newtown,18940,PA,US,,,,Shopify Payments,197.75,USJewelryhouse,,Low,web, Colorado Topaz,,44
39,#1040,partially_refunded,,fulfilled,yes,USD,30.0,9.65,0.0,39.65,,0.0,FedEx Ground,12/3/15 15:46,12,2.5,,fulfilled,1600 main st,1600 main st,,Violets...a little bit of everything,Peckville ,18452,PA,US,Will pick up Saturday dec 5. When I'm in city.,,,Shopify Payments,9.65,Crystal Avenue,,Low,web,,,12
40,#1041,paid,12/4/15 10:08,fulfilled,yes,USD,198.25,11.77,0.0,210.02,,0.0,FedEx Ground,12/4/15 10:08,4,6.0,14.75,fulfilled,6909 NW 43rd St. ,6909 NW 43rd St. ,,Tamara Gonzalez 1501,Miami,33166,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Topaz,,26
41,#1042,partially_refunded,,partial,yes,USD,490.0,9.65,0.0,499.65,,0.0,FedEx Ground,12/4/15 13:55,4,6.75,,fulfilled,145 Main St,145 Main St,,Lilac Bijoux,Annapolis,21401,MD,US,,,,PayPal Express Checkout,6.5,USJewelryhouse,,Low,web, Sapphire,,64
42,#1043,paid,12/6/15 15:21,fulfilled,yes,USD,120.0,9.65,0.0,129.65,,0.0,FedEx Ground,12/6/15 15:21,2,5.0,,fulfilled,25 Cumberland Rd,25 Cumberland Rd,,Direct Jewelry,Reading,1867,MA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,22
43,#1044,partially_refunded,,partial,yes,USD,95.25,9.65,0.0,104.9,,0.0,FedEx Ground,12/7/15 9:57,3,3.75,,fulfilled,287 Heron Way Terrace,287 Heron Way Terrace,,Couture Stylings,Holland,18966,PA,US,,,,Shopify Payments,20.5,USJewelryhouse,,Low,web, Clear,,22
44,#1045,paid,12/7/15 14:33,fulfilled,yes,USD,122.5,10.65,0.0,133.15,,0.0,FedEx Ground,12/7/15 14:33,2,6.5,,fulfilled,30425 n. woodridge court,30425 n. woodridge court,,jartisa/what she wnats,libertyville,60048,IL,US,,,,Shopify Payments,0.0,Crystal Avenue,,Low,web, Silver,,24
45,#1046,paid,12/7/15 16:16,fulfilled,yes,USD,115.5,9.65,0.0,125.15,,0.0,FedEx Ground,12/7/15 16:16,4,8.25,,fulfilled,242 Meadow Lane,242 Meadow Lane,,The Jewel Bar,Middletown,2842,RI,US,"Please ship out ASAP
Thank You!",,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Black,,14
46,#1047,paid,12/7/15 16:26,fulfilled,yes,USD,39.0,15.41,0.0,54.41,,0.0,FedEx Ground,12/7/15 16:26,1,39.0,,fulfilled,27127 bennett way,27127 bennett way,,congress depot mercantile,congress,85332,AZ,US,Thank you....,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web,,,1
47,#1048,paid,12/8/15 11:51,fulfilled,yes,USD,198.0,9.65,0.0,207.65,,0.0,FedEx Ground,12/8/15 11:51,1,198.0,,fulfilled,2203 Merrick Rd,2203 Merrick Rd,,Lets Bag It,Merrick,11566,NY,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
48,#1049,paid,12/8/15 13:47,fulfilled,yes,USD,29.75,10.65,0.0,40.4,,0.0,FedEx Ground,12/8/15 13:47,1,5.75,,fulfilled,2735 Niazuma Ave,2735 Niazuma Ave,,Betsy Prince,Birmingham,35205,AL,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Rustic Gold,,5
49,#1050,partially_refunded,,partial,yes,USD,66.5,9.65,0.0,76.15,,0.0,FedEx Ground,12/8/15 15:46,2,5.0,,fulfilled,3538 Route 309,3538 Route 309,,Pampered at Salon 309,Orefield,18069,PA,US,,,,Shopify Payments,14.0,USJewelryhouse,,Low,web, Brown,,14
50,#1051,partially_refunded,,partial,yes,USD,127.0,9.65,0.0,136.65,,0.0,FedEx Ground,12/8/15 19:43,2,4.75,50.0,pending,"1220 race street, #27008",1220 race street,#27008,the fashion exchange,baltimore,21230,MD,US,,,,Shopify Payments,9.5,USJewelryhouse,,Low,web,Torso,,35
51,#1052,partially_refunded,,partial,yes,USD,269.0,0.0,0.0,269.0,,0.0,Free Shipping (Fedex Ground),12/10/15 7:57,2,6.0,,fulfilled,135 Merrick ave,135 Merrick ave,,Cell,merrick,11566,NY,US,,,,Shopify Payments,43.0,USJewelryhouse,,Low,web, Black,,73
52,#1053,partially_refunded,,partial,yes,USD,93.5,10.19,0.0,103.69,,0.0,FedEx Ground,12/11/15 13:30,1,9.75,,fulfilled,25887 detroit rd,25887 detroit rd,,marcell,westlake,44145,OH,US,,,,Shopify Payments,7.25,USJewelryhouse,,Low,web, Multi,,15
53,#1054,partially_refunded,,partial,yes,USD,268.0,0.0,0.0,268.0,,0.0,Free Shipping (Fedex Ground),12/11/15 17:14,4,3.5,,fulfilled,100 5th st s,100 5th st s,,fashion barn,columbus,39701,MS,US,,,,Shopify Payments,28.0,USJewelryhouse,,Low,web, 1+,,64
54,#1055,partially_refunded,,partial,yes,USD,515.5,0.0,0.0,515.5,,0.0,Free Shipping (Fedex Ground),12/13/15 11:56,4,8.75,,fulfilled,145 Main St,145 Main St,,Lilac Bijoux,Annapolis,21401,MD,US,,,,Shopify Payments,76.5,USJewelryhouse,,Low,web, Topaz,,42
55,#1056,partially_refunded,,partial,yes,USD,253.75,0.0,0.0,253.75,,0.0,Free Shipping (Fedex Ground),12/13/15 12:29,1,3.0,8.5,fulfilled,15 Olcott Square,15 Olcott Square,,The Vanity Room,Bernardsville,7924,NJ,US,,,,Shopify Payments,9.75,USJewelryhouse,,Low,web, Rhodium,,33
56,#1057,paid,12/13/15 13:13,fulfilled,yes,USD,122.0,9.65,0.0,131.65,,0.0,FedEx Ground,12/13/15 13:13,2,5.75,,fulfilled,908 laurie lane,908 laurie lane,,flirtyfinds,franklin lakes,7417,NJ,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Black,,16
57,#1058,partially_refunded,,partial,yes,USD,480.31,0.0,0.0,480.31,,0.0,Free Shipping (Fedex Ground),12/13/15 22:39,1,8.5,,fulfilled,50 Mount Bethel Rd,50 Mount Bethel Rd,,Kreations by Anne,Warren,7059,NJ,US,,,,Shopify Payments,37.0,USJewelryhouse,,Low,web, Black,,71
58,#1059,partially_refunded,,partial,no,USD,74.36,23.78,0.0,98.14,,0.0,FedEx Ground,12/14/15 10:36,3,6.0,8.5,fulfilled,591 Erie St East,591 Erie St East,,Teacups & Crowns,Windsor,N9A3X8,ON,CA,,,,Shopify Payments,9.5,USJewelryhouse,,Low,web, Gray,,23
59,#1060,partially_refunded,,partial,yes,USD,97.75,9.65,0.0,107.4,,0.0,FedEx Ground,12/14/15 14:12,1,4.75,8.75,fulfilled,"808 Deal Road, Middlebrook Plaza",808 Deal Road,Middlebrook Plaza,Mysha Day Spa and Salon,Ocean,7712,NJ,US,,,,Shopify Payments,7.5,USJewelryhouse,,Low,web, Red,,19
60,#1061,paid,12/14/15 17:16,fulfilled,yes,USD,795.5,0.0,0.0,795.5,,0.0,Free Shipping (Fedex Ground),12/14/15 17:16,1,795.5,,fulfilled,106 Union Wharf,106 Union Wharf,,AshB Marie,Boston,2109,MA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, 1+,,1
61,#1062,partially_refunded,,partial,yes,USD,83.25,9.65,0.0,92.9,,0.0,FedEx Ground,12/14/15 17:42,3,6.0,,fulfilled,277 s broadway,277 s broadway,,shoesetc,Hicksville,11801,NY,US,,,,Shopify Payments,9.5,USJewelryhouse,,Low,web, Blue,,10
62,#1063,partially_refunded,,partial,yes,USD,309.75,23.78,0.0,333.53,,0.0,FedEx Ground,12/14/15 21:16,1,11.75,,fulfilled,"1 Promenade Circle, Unit #B204",1 Promenade Circle,Unit #B204,HEAVEN (Store name),Thornhill,L4J4P8,ON,CA,,,,Shopify Payments,25.75,USJewelryhouse,,Low,web, Black,,46
63,#1064,partially_refunded,,partial,yes,USD,292.25,0.0,0.0,292.25,,0.0,Free Shipping (Fedex Ground),12/15/15 6:31,1,9.5,,fulfilled,409 leetes island road,409 leetes island road,,taken for granite,branford ,6405,CT,US,,,,Shopify Payments,37.0,USJewelryhouse,,Low,web, Clear,,35
64,#1065,paid,12/15/15 8:38,fulfilled,yes,USD,85.75,9.65,0.0,95.4,,0.0,FedEx Ground,12/15/15 8:38,1,4.5,8.75,fulfilled,706 howe street,706 howe street,,jlb accessories ,point pleasant ,8742,NJ,US,please ship today,,,Shopify Payments,0.0,D&Y,,Low,web, Gray,,15
65,#1066,partially_refunded,,partial,yes,USD,76.0,23.78,0.0,99.78,,0.0,FedEx Ground,12/15/15 12:05,1,5.0,8.75,pending,"1 Promenade Circle, Unit #B204",1 Promenade Circle,Unit #B204,HEAVEN (Store name),Thornhill,L4J4P8,ON,CA,,,,Shopify Payments,59.28,USJewelryhouse,,Low,web, 1+,,12
66,#1067,partially_refunded,,partial,yes,USD,72.75,10.19,0.0,82.94,,0.0,FedEx Ground,12/15/15 13:17,1,5.0,9.5,fulfilled,"602 eagle rd apt 2d, 2d",602 eagle rd apt 2d,2d,star bella ,greensboro,27407,NC,US,,,,Shopify Payments,5.0,USJewelryhouse,,Low,web, Clear,,12
67,#1068,paid,12/15/15 14:40,fulfilled,yes,USD,120.5,9.65,0.0,130.15,,0.0,FedEx Ground,12/15/15 14:40,3,6.0,,fulfilled,26 Centre St.,26 Centre St.,,be jeweled,New Bedford,2740,MA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Clear,,19
68,#1069,partially_refunded,,partial,yes,USD,265.75,0.0,0.0,265.75,,0.0,Free Shipping (Fedex Ground),12/15/15 19:46,2,5.0,8.5,fulfilled,86 danbury rd,86 danbury rd,,adam broderick salon and spa,ridgefield ,6877,CT,US,,,,Shopify Payments,34.5,USJewelryhouse,,Low,web, Hematite,,45
69,#1070,paid,12/16/15 11:45,fulfilled,yes,USD,306.0,0.0,0.0,306.0,,0.0,Free Shipping (Fedex Ground),12/16/15 11:45,1,306.0,,fulfilled,2203 Merrick Road,2203 Merrick Road,,Lets Accessorize,Merrick,11566,NY,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, 1+,,1
70,#1071,partially_refunded,,partial,no,USD,625.66,0.0,0.0,625.66,,0.0,Free Shipping (Fedex Ground),12/16/15 20:48,12,5.18,,partial,10 High ridge Rd,10 High ridge Rd,,SHELALA,wilton,6897,CT,US,,,,Shopify Payments,102.05,dorothy,,Low,web, Blue 12+,,111
71,#1072,partially_refunded,,partial,yes,USD,275.05,0.0,0.0,275.05,,0.0,Free Shipping (Fedex Ground),12/18/15 6:03,1,9.75,,fulfilled,50 Mount Bethel Rd,50 Mount Bethel Rd,,Kreations by Anne,Warren,7059,NJ,US,,,,Shopify Payments,14.75,USJewelryhouse,,Low,web, Black,,40
72,#1073,paid,12/19/15 12:27,fulfilled,yes,USD,171.5,11.47,0.0,182.97,,0.0,FedEx Ground,12/19/15 12:27,1,6.0,8.75,fulfilled,5623 S Jamaica Way,5623 S Jamaica Way,,Onyx & Blush,Englewood,80111,CO,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Blue,,15
73,#1074,paid,12/21/15 10:58,fulfilled,yes,USD,475.0,0.0,0.0,475.0,,0.0,Free Shipping (Fedex Ground),12/21/15 10:58,1,475.0,,fulfilled,2548 Orchard Lake Rd,2548 Orchard Lake Rd,,Dressing Room,Sylvan Lake,48320,MI,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, 1+,,1
74,#1075,partially_refunded,,partial,yes,USD,204.5,10.96,0.0,215.46,,0.0,FedEx Ground,12/21/15 12:43,1,5.0,14.75,fulfilled,17269 Hampton Blvd,17269 Hampton Blvd,,Michele Popper,Boca Raton ,33496,FL,US,No signature required,,,PayPal Express Checkout,17.5,USJewelryhouse,,Low,web, Black,,33
75,#1076,paid,12/21/15 13:35,fulfilled,yes,USD,247.5,9.65,0.0,257.15,,0.0,FedEx Ground,12/21/15 13:35,4,6.5,,fulfilled,145 Main St,145 Main St,,Lilac Bijoux,Annapolis,21401,MD,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Multi,,33
76,#1077,paid,12/21/15 14:19,fulfilled,yes,USD,68.75,24.0,0.0,92.75,,0.0,UPS Ground,12/21/15 14:19,1,68.75,,fulfilled,3800 NW 16th st,3800 NW 16th st,,Elegantly adornez,Fort Lauderdale,33311,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, 1+,,1
77,#1078,paid,12/21/15 15:58,fulfilled,yes,USD,96.0,9.65,0.0,105.65,,0.0,FedEx Ground,12/21/15 15:58,1,96.0,,fulfilled,2203 Merrick Road,2203 Merrick Road,,Lets Bag It,Merrick,11566,NY,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, 1+,,1
78,#1079,partially_refunded,,partial,yes,USD,108.5,9.65,0.0,118.15,,0.0,FedEx Ground,12/22/15 4:22,1,22.25,,pending,1 nutmeg drive,1 nutmeg drive,,Glitzy Girl,johnston,2919,RI,US,,,,Shopify Payments,42.25,USJewelryhouse,,Low,web, White,,6
79,#1080,partially_refunded,,partial,yes,USD,117.5,10.65,0.0,128.15,,0.0,FedEx Ground,12/22/15 12:24,1,1.75,,fulfilled,112 E. Main St.,112 E. Main St.,,Jenson's,Anoka,55303,MN,US,,,,Shopify Payments,10.25,Fresh,,Low,web, 1+,,20
80,#1081,paid,12/22/15 13:28,fulfilled,yes,USD,58.75,10.19,0.0,68.94,,0.0,FedEx Ground,12/22/15 13:28,1,5.75,8.75,fulfilled,"1228 guilford college road, 106",1228 guilford college road,106,allstate,jamestown,27282,NC,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Taupe,,8
